duration_min,hour,trip_distance,naive_eta,abs_err
41.86666666666667,18,13.4,38.141666666666666,3.7250000000000014
7.65,18,0.09,3.7666666666666666,3.8833333333333337
3.966666666666667,18,0.7,6.233333333333333,2.2666666666666666
27.333333333333332,10,5.19,21.816666666666666,5.516666666666666
11.45,14,2.27,17.716666666666665,6.266666666666666
14.116666666666667,1,2.53,16.441666666666666,2.3249999999999993
4.033333333333333,14,0.9,6.1,2.0666666666666664
6.916666666666667,14,1.26,10.6,3.6833333333333327
16.8,13,3.21,17.45,0.6499999999999986
18.633333333333333,1,4.47,16.441666666666666,2.1916666666666664
20.883333333333333,15,5.41,25.358333333333334,4.475000000000001
11.066666666666666,17,2.3,17.766666666666666,6.699999999999999
12.7,22,1.9,8.766666666666667,3.933333333333332
15.916666666666666,19,3.8,15.791666666666668,0.12499999999999822
3.9166666666666665,14,0.59,6.1,2.183333333333333
7.583333333333333,15,0.97,6.091666666666667,1.4916666666666663
4.4,11,0.52,5.816666666666666,1.416666666666666
7.266666666666667,21,1.54,9.016666666666667,1.7500000000000009
5.8,16,1.43,10.383333333333333,4.583333333333333
6.35,14,0.7,6.1,0.25
34.233333333333334,15,12.03,45.483333333333334,11.25
6.433333333333334,11,3.66,17.183333333333334,10.75
26.55,15,11.87,45.483333333333334,18.933333333333334
15.766666666666667,1,2.31,16.441666666666666,0.6749999999999989
11.666666666666666,2,1.35,8.766666666666667,2.8999999999999986
6.016666666666667,19,0.89,5.583333333333333,0.43333333333333357
6.55,1,1.27,9.233333333333333,2.6833333333333327
42.516666666666666,22,12.34,30.65833333333333,11.858333333333334
13.033333333333333,15,2.54,17.766666666666666,4.7333333333333325
13.616666666666667,15,2.4,17.766666666666666,4.149999999999999
7.4,18,0.88,6.233333333333333,1.166666666666667
12.0,21,0.96,5.45,6.55
10.55,15,2.21,17.766666666666666,7.216666666666665
27.466666666666665,2,5.55,23.166666666666668,4.299999999999997
6.516666666666667,13,1.28,10.2,3.6833333333333327
20.55,16,2.4,17.575000000000003,2.974999999999998
7.616666666666666,12,1.8,10.183333333333334,2.5666666666666673
10.933333333333334,0,1.42,9.125,1.8083333333333336
16.033333333333335,16,1.37,10.383333333333333,5.650000000000002
10.2,4,1.58,7.716666666666667,2.4833333333333325
26.933333333333334,13,8.57,24.45,2.4833333333333343
5.25,18,0.65,6.233333333333333,0.9833333333333334
8.283333333333333,10,0.97,5.583333333333333,2.7
11.433333333333334,19,1.4,9.5,1.9333333333333336
34.416666666666664,20,11.04,32.233333333333334,2.18333333333333
9.25,6,1.6,7.341666666666667,1.9083333333333332
14.683333333333334,16,2.65,17.575000000000003,2.8916666666666693
14.6,9,4.5,15.816666666666666,1.2166666666666668
23.35,22,10.07,30.65833333333333,7.30833333333333
10.45,12,1.93,10.183333333333334,0.2666666666666657
17.583333333333332,13,1.3,10.2,7.383333333333333
8.3,13,0.8,6.066666666666666,2.2333333333333343
5.266666666666667,15,0.8,6.091666666666667,0.8250000000000002
15.983333333333333,1,2.27,16.441666666666666,0.4583333333333339
23.35,9,12.2,31.041666666666668,7.691666666666666
24.666666666666668,16,1.33,10.383333333333333,14.283333333333335
2.183333333333333,0,0.45,3.0166666666666666,0.8333333333333335
18.7,23,6.5,18.53333333333333,0.16666666666666785
38.68333333333333,16,3.55,17.575000000000003,21.108333333333327
15.133333333333333,3,2.08,13.95,1.1833333333333336
9.85,10,2.11,16.0,6.15
32.766666666666666,7,17.43,36.516666666666666,3.75
5.533333333333333,11,1.0,5.816666666666666,0.2833333333333332
4.433333333333334,17,0.76,6.066666666666666,1.6333333333333329
25.25,9,4.97,15.816666666666666,9.433333333333334
3.216666666666667,22,0.63,5.475,2.258333333333333
36.96666666666667,19,18.29,34.93333333333334,2.0333333333333314
32.266666666666666,15,10.94,45.483333333333334,13.216666666666669
10.25,20,2.6,15.15,4.9
11.116666666666667,22,3.14,13.95,2.833333333333332
8.95,21,2.22,14.483333333333334,5.533333333333335
4.633333333333334,16,0.61,6.233333333333333,1.5999999999999996
