duration_min,pred_eta_min,abs_err,hour,trip_distance
3.033333333333333,5.67456,2.6412267367045086,22,0.84
63.96666666666667,33.501003,30.46566340128581,16,9.88
31.833333333333332,25.790285,6.043048222859699,0,0.0
8.783333333333333,8.041309,0.7420239766438801,7,1.29
6.883333333333334,8.472436,1.5891026178995764,16,0.9
26.733333333333334,30.71702,3.983686701456705,11,18.21
22.966666666666665,14.332196,8.634470431009927,15,2.4
33.63333333333333,38.710064,5.076730600992839,13,18.57
7.266666666666667,10.928681,3.662014706929525,10,1.5
13.0,13.592187,0.5921869277954102,11,1.81
4.9,8.562876,3.6628757476806637,12,0.8
8.8,10.343735,1.5437347412109368,14,1.64
10.3,9.426934,0.8730657577514656,12,1.0
20.316666666666666,21.892185,1.5755185445149742,12,3.3
6.3,7.8842397,1.5842396736145021,14,1.1
